param_fast_window,param_slow_window,param_price_key,score
2,10,open,0.0
2,10,high,0.0
2,10,low,0.0
2,10,close,0.0
2,15,open,0.0
2,15,high,0.0
2,15,low,0.0
2,15,close,0.0
2,20,open,0.0
2,20,high,0.0
2,20,low,0.0
2,20,close,0.0
2,25,open,0.0
2,25,high,0.0
2,25,low,0.0
2,25,close,0.0
2,30,open,0.0
2,30,high,0.0
2,30,low,0.0
2,30,close,0.0
2,35,open,0.0
2,35,high,0.0
2,35,low,0.0
2,35,close,0.0
2,40,open,0.0
2,40,high,0.0
2,40,low,0.0
2,40,close,0.0
2,45,open,0.0
2,45,high,0.0
2,45,low,0.0
2,45,close,0.0
2,50,open,0.0
2,50,high,0.0
2,50,low,0.0
2,50,close,0.0
3,10,open,0.0
3,10,high,0.0
3,10,low,0.0
3,10,close,0.0
3,15,open,0.0
3,15,high,0.0
3,15,low,0.0
3,15,close,0.0
3,20,open,0.0
3,20,high,0.0
3,20,low,0.0
3,20,close,0.0
3,25,open,0.0
3,25,high,0.0
